Date,Electricity_consumption,Wind_production,Solar_production,Price,Wind+Solar,Delta,Delta_Price
2016-09-18 00:00:00+00:00,133.98800000000003,3.0970000000000004,2.439,0.6000000000000002,5.536,128.45200000000003,77071200.00000004
2016-09-19 00:00:00+00:00,173.037,30.123,2.177,0.8750000000000002,32.3,140.737,123144875.00000003
2016-09-20 00:00:00+00:00,173.91899999999998,27.623999999999995,2.9450000000000003,0.8340000000000002,30.56899999999999,143.35,119553900.00000003
2016-09-21 00:00:00+00:00,173.84100000000004,6.279999999999999,3.1020000000000003,0.8120000000000003,9.382,164.45900000000003,133540708.00000007
2016-09-22 00:00:00+00:00,172.685,3.885,3.401,0.8040000000000004,7.286,165.399,132980796.00000006
2016-09-23 00:00:00+00:00,168.14600000000004,1.376,2.844,0.7610000000000003,4.220000000000001,163.92600000000004,124747686.00000009
2016-09-24 00:00:00+00:00,141.68500000000003,1.2820000000000005,3.406,0.6580000000000003,4.688,136.99700000000004,90144026.00000007
2016-09-25 00:00:00+00:00,131.22700000000003,1.7940000000000005,3.2670000000000003,0.5400000000000001,5.061000000000001,126.16600000000003,68129640.00000004
2016-09-26 00:00:00+00:00,168.37900000000002,1.867,2.653,0.7860000000000004,4.5200000000000005,163.859,128793174.00000007
2016-09-27 00:00:00+00:00,172.221,1.2919999999999996,3.218,0.8050000000000004,4.510000000000001,167.711,135007355.0000001
2016-09-28 00:00:00+00:00,173.63799999999998,7.176000000000001,3.0449999999999995,0.6140000000000002,10.221,163.41699999999997,100338038.00000001
2016-09-29 00:00:00+00:00,173.61100000000002,10.061,2.925,0.5740000000000002,12.986,160.62500000000003,92198750.00000004
2016-09-30 00:00:00+00:00,167.27400000000003,3.1740000000000004,3.097,0.8040000000000003,6.271000000000001,161.00300000000004,129446412.00000006
2016-10-01 00:00:00+00:00,143.998,5.125,3.082,0.7790000000000004,8.206999999999999,135.791,105781189.00000004
2016-10-02 00:00:00+00:00,139.741,7.268,1.838,0.6480000000000001,9.106,130.63500000000002,84651480.00000003
2016-10-03 00:00:00+00:00,173.28100000000003,31.93,2.221,0.6680000000000003,34.151,139.13000000000005,92938840.00000007
2016-10-04 00:00:00+00:00,181.731,49.841,1.7259999999999998,0.7390000000000004,51.567,130.164,96191196.00000004
2016-10-05 00:00:00+00:00,181.104,44.54599999999999,2.515,0.7210000000000004,47.06099999999998,134.043,96645003.00000006
